SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
0395,438,180,159,889,460,51.74353205849269,39.130434782608695,34.56521739130435,4.565217391304344,MORENA
0396,538,242,166,1227,554,45.15077424612877,43.68231046931408,29.96389891696751,13.718411552346574,MORENA
0397,644,201,254,1262,652,51.664025356576865,30.828220858895705,38.95705521472393,-8.128834355828225,ALIANZA
0398,592,233,200,1304,600,46.012269938650306,38.833333333333336,33.333333333333336,5.5,MORENA
0400,533,250,147,1406,528,37.55334281650071,47.34848484848485,27.84090909090909,19.50757575757576,MORENA
0401,549,270,121,1417,571,40.29640084685956,47.285464098073554,21.19089316987741,26.094570928196145,MORENA
0402,1401,513,529,2803,1418,50.58865501248662,36.17771509167842,37.306064880112835,-1.128349788434413,ALIANZA
0403,851,236,378,1475,854,57.898305084745765,27.634660421545668,44.26229508196721,-16.627634660421542,ALIANZA
0404,730,238,271,1369,740,54.054054054054056,32.16216216216216,36.62162162162162,-4.45945945945946,ALIANZA
0405,400,160,137,840,435,51.785714285714285,36.7816091954023,31.49425287356322,5.287356321839077,MORENA
0406,620,204,229,1062,622,58.568738229755176,32.79742765273312,36.81672025723473,-4.019292604501608,ALIANZA
0407,463,187,168,967,467,48.29369183040331,40.04282655246253,35.974304068522486,4.068522483940043,MORENA
0408,533,174,219,1032,548,53.10077519379845,31.751824817518248,39.96350364963504,-8.211678832116789,ALIANZA
0409,688,222,279,1291,706,54.6862896979086,31.444759206798867,39.51841359773371,-8.073654390934845,ALIANZA
0410,812,231,354,1444,819,56.717451523545705,28.205128205128204,43.223443223443226,-15.018315018315022,ALIANZA
0411,671,245,227,1309,679,51.8716577540107,36.08247422680412,33.43151693667158,2.6509572901325456,MORENA
0412,591,159,292,1392,609,43.75,26.108374384236452,47.947454844006565,-21.839080459770113,ALIANZA
0413,1613,327,1097,2396,1638,68.36393989983306,19.963369963369964,66.97191697191697,-47.008547008547005,ALIANZA
0414,403,91,110,1192,421,35.31879194630873,21.61520190023753,26.128266033254157,-4.513064133016627,ALIANZA
0415,1164,569,304,3594,1156,32.16471897607123,49.221453287197235,26.29757785467128,22.923875432525953,MORENA
0416,224,88,62,553,230,41.59132007233273,38.26086956521739,26.956521739130434,11.304347826086957,MORENA
0417,644,93,478,861,651,75.60975609756098,14.285714285714286,73.42549923195085,-59.13978494623657,ALIANZA
0418,855,116,638,1206,911,75.53897180762853,12.733260153677278,70.03293084522502,-57.299670691547746,ALIANZA
0419,709,157,422,1091,722,66.17781851512375,21.74515235457064,58.448753462603875,-36.70360110803324,ALIANZA
0420,680,183,353,1092,678,62.08791208791209,26.991150442477878,52.064896755162245,-25.073746312684367,ALIANZA
0421,558,200,226,1093,567,51.87557182067704,35.27336860670194,39.85890652557319,-4.585537918871246,ALIANZA
0422,305,89,145,615,312,50.73170731707317,28.525641025641026,46.47435897435897,-17.948717948717945,ALIANZA
0423,431,161,139,952,437,45.903361344537814,36.8421052631579,31.80778032036613,5.034324942791766,MORENA
0424,576,233,175,1193,584,48.95222129086337,39.897260273972606,29.965753424657535,9.93150684931507,MORENA
0425,738,271,265,1429,746,52.20433869839048,36.32707774798928,35.52278820375335,0.8042895442359281,MORENA
0426,599,240,170,1252,610,48.722044728434504,39.34426229508197,27.868852459016395,11.475409836065573,MORENA
0427,481,208,149,1210,497,41.074380165289256,41.85110663983903,29.979879275653925,11.871227364185106,MORENA
0428,956,453,276,2590,987,38.108108108108105,45.89665653495441,27.96352583586626,17.93313069908815,MORENA
0429,936,380,286,2165,958,44.249422632794456,39.66597077244259,29.853862212943632,9.81210855949896,MORENA
0430,276,123,51,673,272,40.41604754829123,45.220588235294116,18.75,26.470588235294116,MORENA
0431,882,392,233,2009,886,44.10154305624689,44.24379232505643,26.297968397291196,17.945823927765236,MORENA
0432,459,171,159,845,474,56.094674556213015,36.075949367088604,33.54430379746835,2.5316455696202524,MORENA
0433,519,225,174,1254,534,42.58373205741627,42.13483146067416,32.58426966292135,9.550561797752806,MORENA
0434,545,230,166,1286,553,43.001555209953345,41.59132007233273,30.018083182640144,11.573236889692584,MORENA
0435,384,166,119,769,399,51.88556566970091,41.60401002506266,29.82456140350877,11.779448621553886,MORENA
0436,339,121,110,635,336,52.91338582677165,36.01190476190476,32.73809523809524,3.2738095238095184,MORENA
0437,349,140,101,702,352,50.142450142450144,39.77272727272727,28.693181818181817,11.079545454545457,MORENA
0438,659,218,261,1151,668,58.0364900086881,32.634730538922156,39.07185628742515,-6.437125748502993,ALIANZA
0439,1627,197,1283,1465,1642,112.08191126279864,11.997563946406821,78.13641900121803,-66.13885505481122,ALIANZA
0440,612,120,384,926,637,68.79049676025917,18.838304552590266,60.28257456828885,-41.444270015698585,ALIANZA
0441,497,125,281,826,513,62.106537530266344,24.366471734892787,54.77582846003899,-30.4093567251462,ALIANZA
0442,575,194,227,1073,581,54.14725069897484,33.39070567986231,39.070567986230635,-5.679862306368328,ALIANZA
0443,547,137,254,973,560,57.55395683453237,24.464285714285715,45.357142857142854,-20.89285714285714,ALIANZA
