DISTRITO_LOCAL,SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
1,0696,665,366,175,2349,700,29.79991485738612,52.285714285714285,25,27.285714285714285,MORENA
1,0697,176,96,58,513,180,35.08771929824562,53.333333333333336,32.22222222222222,21.111111111111114,MORENA
1,0698,305,142,118,896,315,35.15625,45.07936507936508,37.46031746031746,7.61904761904762,MORENA
1,0700,176,79,64,444,174,39.189189189189186,45.40229885057471,36.7816091954023,8.620689655172413,MORENA
1,0701,778,375,287,2006,794,39.581256231306085,47.22921914357683,36.14609571788413,11.083123425692698,MORENA
1,0703,396,194,85,1100,350,31.818181818181817,55.42857142857143,24.285714285714285,31.142857142857146,MORENA
1,0704,337,190,110,1143,352,30.79615048118985,53.97727272727273,31.25,22.727272727272727,MORENA
1,0705,332,174,112,1114,343,30.789946140035905,50.72886297376093,32.6530612244898,18.075801749271136,MORENA
1,0706,599,285,223,1772,621,35.0451467268623,45.893719806763286,35.909822866344605,9.983896940418681,MORENA
1,0707,460,234,169,1312,468,35.670731707317074,50,36.111111111111114,13.888888888888886,MORENA
1,0708,285,151,91,1030,292,28.349514563106798,51.71232876712329,31.164383561643834,20.547945205479454,MORENA
1,0709,216,118,65,625,216,34.56,54.629629629629626,30.09259259259259,24.537037037037035,MORENA
1,0710,807,542,290,3522,1033,29.32992617830778,52.468538238141335,28.073572120038722,24.394966118102612,MORENA
1,0711,581,292,186,1868,593,31.745182012847966,49.24114671163575,31.365935919055648,17.875210792580102,MORENA
1,0712,203,134,44,739,211,28.552097428958053,63.507109004739334,20.85308056872038,42.654028436018955,MORENA
1,0713,542,246,190,1555,550,35.369774919614144,44.72727272727273,34.54545454545455,10.18181818181818,MORENA
1,0714,450,218,157,1451,463,31.909028256374913,47.084233261339094,33.909287257019436,13.174946004319658,MORENA
1,0716,154,70,44,458,155,33.842794759825324,45.16129032258065,28.387096774193548,16.7741935483871,MORENA
1,0717,275,173,59,852,281,32.98122065727699,61.56583629893238,20.99644128113879,40.569395017793596,MORENA
1,0718,285,182,56,1154,296,25.64991334488735,61.486486486486484,18.91891891891892,42.567567567567565,MORENA
1,0719,815,445,245,2975,836,28.100840336134453,53.229665071770334,29.30622009569378,23.923444976076553,MORENA
1,0720,164,81,44,464,154,33.189655172413794,52.5974025974026,28.571428571428573,24.025974025974026,MORENA
1,0721,515,298,112,2078,535,25.745909528392684,55.700934579439256,20.934579439252335,34.76635514018692,MORENA
1,0722,282,150,88,1039,291,28.007699711260827,51.54639175257732,30.240549828178693,21.305841924398628,MORENA
1,0723,970,560,247,3510,993,28.29059829059829,56.394763343403824,24.87411883182276,31.520644511581065,MORENA
