"DIPUTACIONES LOCALES (INCLUYE RESULTADOS DE MAYORIA RELATIVA Y REPRESENTACION PROPORCIONAL)"
"07/06/2021 13:19 (UTC-7)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATÁLOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
3773,3804,31,3773,100.0000,3166,83.9120,23.0585,607,1841000,809615,803712,43.9769

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,CC_PAN_PRI_PRD,CC_MORENA_PT_PVEM_NA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,CAND_IND_JHZM,CAND_IND_JME,CAND_IND_CSVB,CAND_IND_JTVG,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'260665B0100,'260665B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0665,0001,B,0,1,3,425,279,5,282,-,-,49,72,1,3,1,17,81,-,20,3,21,-,-,-,-,5,1,0,0,1,7,282,282,666,44,,1,D,3a8c18d1af6c5879c2f2d4e3efa8dfc89318c04e0b40e833684929cd838de13c,"07/06/2021 01:52:40","07/06/2021 03:34:44","07/06/2021 03:37:13",CASILLA,MOVIL,"ACTA PREP"
'260666B0100,'260666B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0666,0001,B,0,1,3,0,0,0,262,-,-,54,62,2,6,"Sin dato",18,82,-,16,"Sin dato",12,-,-,-,-,4,3,"Sin dato","Sin dato",0,3,0,262,601,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,8f6eb009d93ed2f367e6e608f70a0fc3fa0e6de205685d9c49f9cb1a0149a123,"07/06/2021 23:40:00","07/06/2021 02:41:59","07/06/2021 02:42:12",CATD,ESCANER,"ACTA PREP"
'260666C0100,'260666C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0666,0001,C,0,1,3,371,268,6,274,-,-,60,72,0,4,1,21,79,-,12,1,12,-,-,-,-,2,4,0,0,0,6,274,274,601,44,,1,D,a364074b735e6abc0c34a0d58a25ec4b1e427e9695ff5943ee31f6f87d33862a,"06/06/2021 22:51:00","06/06/2021 23:29:27","06/06/2021 23:29:45",CATD,ESCANER,"ACTA PREP"
'260667B0100,'260667B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0667,0001,B,0,1,3,407,225,3,229,-,-,51,40,6,4,5,20,80,-,10,2,5,-,-,-,-,1,1,0,0,0,4,229,229,591,44,,1,D,95a8fedaff8693a978f3ebe04f2f660b724afbd84de278b8049e676e6759e358,"07/06/2021 23:38:00","07/06/2021 02:39:41","07/06/2021 02:39:46",CATD,ESCANER,"ACTA PREP"
'260667C0100,'260667C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0667,0001,C,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,590,44,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 05:55:00","07/06/2021 06:52:44","07/06/2021 06:52:44",CATD,ESCANER,"ACTA PREP"
'260668B0100,'260668B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0668,0001,B,0,1,3,513,272,3,0,-,-,61,54,3,8,3,24,88,-,10,2,12,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,10,275,275,744,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,9e65078f18a613813cff288fc9d280644bab47a6c087c9d367610b178384352f,"07/06/2021 00:41:00","07/06/2021 02:39:02","07/06/2021 02:39:29",CATD,ESCANER,"ACTA PREP"
'260668C0100,'260668C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0668,0001,C,0,1,3,551,230,5,235,-,-,52,43,1,7,3,12,90,-,4,2,12,-,-,-,-,3,2,0,0,0,4,235,235,743,44,,1,D,6b9c24c18cc245a4547571b5856ca37f3a0d50058be35a590d1b4a0e9ac0ea0f,"07/06/2021 00:45:00","07/06/2021 03:01:18","07/06/2021 03:01:39",CATD,ESCANER,"ACTA PREP"
'260669B0100,'260669B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0669,0001,B,0,1,3,388,192,7,198,-,-,46,25,1,1,3,20,80,-,8,0,8,-,-,-,-,3,1,0,0,0,2,198,198,543,44,,1,D,a5d99971cfac6d99fc97da551047ddf76c6c5a805068161203d7730da845f46c,"07/06/2021 02:17:00","07/06/2021 02:18:42","07/06/2021 02:19:24",CATD,ESCANER,"ACTA PREP"
'260669C0100,'260669C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0669,0001,C,0,1,3,363,218,5,223,-,-,43,21,4,4,10,31,87,-,4,1,14,-,-,-,-,0,0,0,0,0,5,223,224,543,44,,1,D,8d0de3a659086351db490153c888b43a5308bc0a65731dacd21026a64e17c6b1,"07/06/2021 00:02:00","07/06/2021 00:24:48","07/06/2021 00:25:02",CATD,ESCANER,"ACTA PREP"
'260669C0200,'260669C02003,26,SONORA,001,"SAN LUIS RIO COLORADO",0669,0002,C,0,1,3,400,177,10,187,-,-,33,23,2,9,5,18,71,-,7,1,11,-,-,-,-,4,0,0,0,0,3,187,187,543,44,,1,D,c34d75c828bd9a655c9bd2235ca3834dc798ac24cdc7cee4791c5dc509e3f023,"07/06/2021 00:01:00","07/06/2021 02:08:48","07/06/2021 02:11:25",CATD,ESCANER,"ACTA PREP"
